Days,cases
571,32449306
572,32474773
573,32512366
574,32558530
575,32603188
576,32649947
577,32695030
578,32737939
579,32768880
580,32810845
581,32857937
582,32903289
583,32945907
584,32988673
585,33027621
586,33058843
587,33096718
588,33139981
589,33174954
590,33208330
591,33236921
592,33264175
593,33289579
594,33316755
595,33347325
596,33381728
597,33417390
598,33448163
599,33478419
600,33504534
601,33531498
602,33563421
603,33594803
604,33624419
605,33652745
606,33678786
607,33697581
608,33716451
609,33739980
610,33766707
611,33791061
612,33813903
613,33834702
614,33853048
615,33871881
616,33894312
617,33915569
618,33935309
619,33953475
620,33971607
621,33985920
622,34001743
623,34020730
624,34037592
625,34053573
626,34067719
627,34081315
628,34094373
629,34108996
630,34127450
631,34143236
632,34159562
633,34175468
634,34189774
635,34202202
636,34215653
637,34231809
638,34246157
639,34260470
640,34273300
641,34285814
642,34296237
643,34308140
644,34321025
645,34333754
646,34344683
647,34355509
648,34366987
649,34377113
650,34388579
651,34401670
652,34414186
653,34426036
654,34437307
655,34447536
656,34456401
657,34466598
658,34478517
659,34489623
660,34499925
661,34510413
662,34518901
663,34526480
664,34535763
665,34544882
666,34555431
667,34563749
668,34572523
669,34580832
670,34587822
671,34596776
672,34606541
673,34615757
674,34624360
675,34624360
676,34641561
677,34648383
678,34656822
679,34666241
680,34674643
681,34682633
682,34690510
683,34697860
684,34703644
685,34710628
686,34718602
687,34726049
688,34726049
689,34733194
690,34746838
691,34752164
692,34758481
693,34765976
694,34772626
695,34779815
696,34786802
697,34793333
698,34799691
699,34808886
700,34822040
701,34838804
702,34861579
703,34889132
704,34922882
705,34960261
706,35018358
707,35109286
